Id,Iso639 3,Iso639 1,Eng name,Epo name,Deu name,Fra name,Spa name,Zho name,Rus name,Own name,Language type,Num users,Abbrev
2677,jbo,"",Lojban,loĵbano,Lojban,lojban,Lojban,逻辑语,ложбан,la .lojban.,C,65,
2574,ina,ia,Interlingua,interlingvao,Interlingua,interlingua,interlingua,国际语 (Interlingua),интерлингва,Interlingua,C,65,
6043,swa,sw,Swahili,svahila,Swahili,swahili,suahelí,斯瓦希里语,суахили,Kiswahili,L,61,
2133,glg,gl,Galician,galega,Galicisch,galicien,gallego,加利西亞語,галисийский,galego,L,61,
6703,urd,ur,Urdu,urdua,Urdu,ourdou,urdu,乌尔都语,урду,اردو,L,59,
1868,est,et,Estonian,estona,Estnische,estonien,estonio,爱沙尼亚语,эстонский,eesti,L,59,
366,arz,"",Egyptian Arabic,egipta araba,arabisch (ägyptisch),arabe (égyptien),Árabe egipcio,埃及阿拉伯語,Египетский диалект арабского языка,مصري,L,56,
6234,tgl,tl,Tagalog,tagaloga,Tagalog,tagalog,tagalo(g),他加祿語,тагальский,Tagálog,L,53,
2331,hbs,sh,Serbo-Croatian,serbokroata,Serbokroatisch,serbo-croate,serbocroata,塞尔维亚－克罗地亚语,сербохорватский,српскохрватски,L,52,
2789,kat,ka,Georgian,kartvela,Georgisch,géorgien,georgiano,格鲁吉亚语,грузинский,ქართული,L,49,
5831,slv,sl,Slovenian,slovena,Slowenisch,slovène,esloveno,斯洛文尼亞語,словенский,slovenščina,L,47,
3296,kur,ku,Kurdish,kurda,Kurdisch,kurde,kurdo,库尔德语,курдский,Kurdî,L,42,
4498,nds,"",Low German,"germana, malalta",Plattdeutsch,bas allemand,bajo sajón,低地德语,нижненемецкий,Neddersassisk,L,41,""
886,bos,bs,Bosnian,bosna,Bosnisch,bosniaque,bosnio,波斯尼亚语,боснийский,Bosanski,L,40,
2230,gsw,"",Swiss German,Svisgermana,Schweizerdeutsch,suisse alémanique,Alemán de Suiza,瑞士德语,швицердютчь,Schwyzerdütsch,L,40,
3455,lav,lv,Latvian,latva,Lettisch,letton,letón,拉脱维亚语,латышский,latviešu,L,38,
372,asf,"",Auslan,aŭstralia signolingvo (ozlano),Australische Gebärdensprache,langue des signes australienne,lengua de signos australiana,澳洲哑语,австралийский жестовый язык,Auslan,L,38,""
501,aze,az,Azerbaijani,azerbajĝana,Aserbaidschanisch,azéri,azerbayano,阿塞拜疆语,азербайджанский,Azərbaycan,L,37,
4204,msa,ms,Malay (macrolanguage),malaja,Malaiisch,malais,malayo,马来语,малайский,bahasa Melayu,L,35,
2330,hbo,"",Ancient Hebrew,antikva hebrea,Alt-Hebräisch,hébreu ancien,Hebreo Antiguo,古希伯来语,Древний иврит,עברית קלאסית,H,33,
1919,fil,"",Filipino,filipina,Filipinisch,filipino,filipino,菲律宾语,Филиппинский язык,Wikang Filipino,L,33,
947,bre,br,Breton,bretona,Bretonisch,breton,bretón,布列塔尼语,бретонский,brezhoneg,L,32,
7815,lfn,"",Lingua Franca Nova,nova lingvafrankao,Lingua Franca Nova,Lingua franca nova,Lingua Franca Nova,新共同语言,Лингва франка нова,Lingua Franca Nova,C,31,
6824,vol,vo,Volapük,volapuko,Volapük,volapük,volapük,沃拉普克语,волапюк,Volapük,C,29,
622,bel,be,Belarusian,belarusa,Weißrussisch,biélorusse,bielorruso,白俄罗斯语,белорусский,беларуская,L,29,
2483,hye,hy,Armenian,armena,Armenisch,arménien,armenio,亚美尼亚语,армянский,Հայերեն,L,28,
365,ary,"",Moroccan Arabic,maroka araba,arabisch (marrokanisch),arabe (marocain),Árabe marroquí,摩洛哥阿拉伯语,Марокканский диалект арабского языка,الدارجة,L,28,
5005,oss,os,Ossetian,oseta,Ossetisch,ossète,oseto,奥塞梯语,осетинский,иронау,L,27,
5602,san,sa,Sanskrit,sanskrito,Sanskrit,sanskrit,sánscrito,梵语,санскрит,संस्कृतम्,A,27,
5052,pan,pa,Punjabi,panĝaba,Pandschabisch,pendjabi,panyabí,旁遮普語,пенджаби,ਪੰਜਾਬੀ,L,26,
1163,bzs,"",Brazilian Sign Language,brazila signolingvo,Brasilianische Gebärdensprache,langue des signes brésilienne,lengua de signos brasileña,巴西手语,бразильский жестовый язык,Língua Brasileira de Sinais (Libras),L,25,Libras
5932,sqi,sq,Albanian,albana,Albanisch,albanais,albanés,,албанский,Shqip,L,25,
6113,tam,ta,Tamil,tamila,Tamilisch,tamoul,tamil,泰米尔语,тамильский,தமிழ்,L,25,
1388,cor,kw,Cornish,kornvala,Kornisch,cornique,córnico,康沃尔语,корнский,Kernewek,L,24,
2323,haw,"",Hawaiian,havaja,Hawaiianisch,hawaïen,hawaiano,夏威夷语,гавайский,ʻōlelo Hawaiʻi,L,23,""
1961,fsl,"",French Sign Language,franca signolingvo,Französische Gebärdensprache,langue des signes française,lengua de signos francesa,"",французский жестовый язык,langue des signes française,L,22,LSF
8201,qpn,"",Pandunia,pandunia,Pandunia,pandunia,pandunia,磅杜尼亚,пандуния,pandunia,C,22,
4186,mri,mi,Maori,maoria,Maori,maori,maorí,毛利语,маори,te reo Māori,L,22,
386,ast,"",Asturian,astura,Asturisch,asturien,asturiano,阿斯图里亚斯语,астурийский,asturianu,L,22,
4420,nan,"",Min Nan Chinese,minnana,Min Nan,Minnan,Chino min nan,闽南语,Южноминьский язык,閩南語,L,21,
2557,ile,ie,Interlingue,interlingveo (okcidentalo),Interlingue,interlingue,interlingue,国际语 (Interlingue),интерлингве,Interlingue,C,21,
272,ang,"",Old English (ca. 450-1100),malnovangla (ĉ. 540-1100),Altenglisch,anglo-saxon,Idioma anglosajón,古英语,староанглийский,Englisc,H,21,
6205,tel,te,Telugu,telugua,Telugu,télougou,telugú,泰卢固语,телугу,తెలుగు,L,21,
1959,fry,fy,Western Frisian,okcidentfrisa,Westfriesisch,frison,frisón,弗里西亚语,фризский,Frysk,L,20,
5651,sco,"",Scots,skota,Lowland-Schottisch,scot(s),escocés,低地蘇格蘭語,шотландский,Scoats,L,20,
645,bfi,"",British Sign Language,brita signolingvo,Britische Gebärdensprache,langue des signes britannique,lengua de signos británica,英国手语,британский жестовый язык,British Sign Language,L,20,BSL
3437,lad,,Ladino,judhispana,Ladino,judéo-espagnol,judeo-español,拉迪诺语,ладино,ג'ודיאו‮–‬איספאנייול,L,18,
5840,sme,se,Northern Sami,nord-samea,Nordsamisch,sami du Nord,Sami septentrional,北方萨米语,северносаамский,sámi,L,18,""
4001,mkd,mk,Macedonian,makedona,Mazedonisch,macédonien,macedonio,马其顿语,македонский,македонски,L,18,
2211,grn,gn,Guarani,gvarania,Guaraní,guarani,guaraní,瓜拉尼語,гуарани,Avañe'ẽ,L,18,
